start_time,end_time,start_time_iso,end_time_iso,amount_value,amount_currency,quantity,line_item,user_id,api_key_id,project_id,organization_id,project_name,organization_name,user_email
1783036800,1783123200,2026-07-03T00:00:00+00:00,2026-07-04T00:00:00+00:00,,,,,,,,,,,
1783123200,1783209600,2026-07-04T00:00:00+00:00,2026-07-05T00:00:00+00:00,,,,,,,,,,,
1783209600,1783296000,2026-07-05T00:00:00+00:00,2026-07-06T00:00:00+00:00,,,,,,,,,,,
1783296000,1783382400,2026-07-06T00:00:00+00:00,2026-07-07T00:00:00+00:00,,,,,,,,,,,
1783382400,1783468800,2026-07-07T00:00:00+00:00,2026-07-08T00:00:00+00:00,,,,,,,,,,,
1783468800,1783555200,2026-07-08T00:00:00+00:00,2026-07-09T00:00:00+00:00,,,,,,,,,,,
1783555200,1783641600,2026-07-09T00:00:00+00:00,2026-07-10T00:00:00+00:00,,,,,,,,,,,
1783641600,1783728000,2026-07-10T00:00:00+00:00,2026-07-11T00:00:00+00:00,,,,,,,,,,,
1783728000,1783814400,2026-07-11T00:00:00+00:00,2026-07-12T00:00:00+00:00,,,,,,,,,,,
1783814400,1783900800,2026-07-12T00:00:00+00:00,2026-07-13T00:00:00+00:00,,,,,,,,,,,
1783900800,1783987200,2026-07-13T00:00:00+00:00,2026-07-14T00:00:00+00:00,,,,,,,,,,,
1783987200,1784073600,2026-07-14T00:00:00+00:00,2026-07-15T00:00:00+00:00,,,,,,,,,,,
1784073600,1784160000,2026-07-15T00:00:00+00:00,2026-07-16T00:00:00+00:00,,,,,,,,,,,
1784160000,1784246400,2026-07-16T00:00:00+00:00,2026-07-17T00:00:00+00:00,,,,,,,,,,,
1784246400,1784332800,2026-07-17T00:00:00+00:00,2026-07-18T00:00:00+00:00,,,,,,,,,,,
1784332800,1784419200,2026-07-18T00:00:00+00:00,2026-07-19T00:00:00+00:00,,,,,,,,,,,
1784419200,1784505600,2026-07-19T00:00:00+00:00,2026-07-20T00:00:00+00:00,,,,,,,,,,,
1784505600,1784592000,2026-07-20T00:00:00+00:00,2026-07-21T00:00:00+00:00,,,,,,,,,,,
1784592000,1784678400,2026-07-21T00:00:00+00:00,2026-07-22T00:00:00+00:00,,,,,,,,,,,
1784678400,1784764800,2026-07-22T00:00:00+00:00,2026-07-23T00:00:00+00:00,,,,,,,,,,,
1784764800,1784851200,2026-07-23T00:00:00+00:00,2026-07-24T00:00:00+00:00,,,,,,,,,,,
1784851200,1784937600,2026-07-24T00:00:00+00:00,2026-07-25T00:00:00+00:00,,,,,,,,,,,
1784937600,1785024000,2026-07-25T00:00:00+00:00,2026-07-26T00:00:00+00:00,,,,,,,,,,,
1785024000,1785110400,2026-07-26T00:00:00+00:00,2026-07-27T00:00:00+00:00,,,,,,,,,,,
1785110400,1785196800,2026-07-27T00:00:00+00:00,2026-07-28T00:00:00+00:00,,,,,,,,,,,
1785196800,1785283200,2026-07-28T00:00:00+00:00,2026-07-29T00:00:00+00:00,,,,,,,,,,,
1785283200,1785369600,2026-07-29T00:00:00+00:00,2026-07-30T00:00:00+00:00,,,,,,,,,,,
1785369600,1785456000,2026-07-30T00:00:00+00:00,2026-07-31T00:00:00+00:00,,,,,,,,,,,
1785456000,1785542400,2026-07-31T00:00:00+00:00,2026-08-01T00:00:00+00:00,,,,,,,,,,,
1785542400,1785628800,2026-08-01T00:00:00+00:00,2026-08-02T00:00:00+00:00,,,,,,,,,,,
1785628800,1785715200,2026-08-02T00:00:00,2026-08-03T00:00:00,0E-6176,usd,0,"gpt-5.4-mini-2026-03-17, cached input",,,proj_6jXFhnMGiPrsmz3YFrblFXkn,org-4oyHVvUaKIod8F9ea6vQ5k9F,project12-grace-mercy-relief,Imad Uddin,
1785628800,1785715200,2026-08-02T00:00:00,2026-08-03T00:00:00,0.01830525,usd,24407,"gpt-5.4-mini-2026-03-17, input",,,proj_6jXFhnMGiPrsmz3YFrblFXkn,org-4oyHVvUaKIod8F9ea6vQ5k9F,project12-grace-mercy-relief,Imad Uddin,
1785628800,1785715200,2026-08-02T00:00:00,2026-08-03T00:00:00,0.0744615,usd,16547,"gpt-5.4-mini-2026-03-17, output",,,proj_6jXFhnMGiPrsmz3YFrblFXkn,org-4oyHVvUaKIod8F9ea6vQ5k9F,project12-grace-mercy-relief,Imad Uddin,
